Material Exchange Platform (MEP),Host,Logo,Website,Platform type,Exchange type,Audience,Material exchanged,,Need to create an account?,Cost to use the platform,Exchange logistics,Can waiting requests be made for specific materials?,Continued availability of material known?,Cost of materials known?,Provenance known?,Quantity  known?,Quality known?,Colour known?,Location,Address Line 1,Address Line 2,Address Line 3,Town,Postcode,County,Country,Colour,,,,,,,,,,,,,,,,,,,,,,,,
Chiltern Wood Recycling Project,National Community Wood Recycling Project,,https://www.chilternwoodrecycling.co.uk/,Enterprise and shop,Buy and sell,Any,Wood,,NA,Free ,Donate by arrangement with store. Buy in store,Don't know,Don't know,Cost depends on donation and purchase amounts and type,Don't know,See in store,See in store,See in store,High Wycombe,Unit 2 ,Cressex Business Park,,High Wycombe,HP12 3RD,High Wycombe,England,Green,,,,,,,,,,,,,,,,,,,,,,,,
Mid Sussex Wood Recycling Project,National Community Wood Recycling Project,,https://www.midsussexwoodrecycling.com/,Enterprise and shop,Buy and sell,Any,Wood,,NA,Free ,Donate by arrangement with store. Buy in store,Don't know,Don't know,Cost depends on donation and purchase amounts and type,Don't know,See in store,See in store,See in store,West Sussex,Brooklands Farm,Rocky Lane,,Haywards Heath,RH16 4RR,West Sussex,England,Green,,,,,,,,,,,,,,,,,,,,,,,,
The Wood Store Brighton,National Community Wood Recycling Project,,https://www.woodrecycling.org.uk/,Enterprise and shop,Buy and sell,Any,Wood,,NA,Free ,Donate by arrangement with store. Buy in store,Don't know,Don't know,Cost depends on donation and purchase amounts and type,Don't know,See in store,See in store,See in store,Brighton,Unit 2 ,Longley Industrial Estate,,Elder Place,BN1 4GY,Brighton,England,Green,,,,,,,,,,,,,,,,,,,,,,,,
Wood@Aldingbourne,National Community Wood Recycling Project,,https://www.aldingbournetrust.org/wood.html,Enterprise and shop,Buy and sell,Any,Wood,,NA,Free ,Donate by arrangement with store. Buy in store,Don't know,Don't know,Cost depends on donation and purchase amounts and type,Don't know,See in store,See in store,See in store,Norton,Aldingbourne Country Centre,Black Mill Lane,,,PO18 0JP,Norton,England,Green,,,,,,,,,,,,,,,,,,,,,,,,
Oxford Wood Recycling,National Community Wood Recycling Project,,https://www.oxfordwoodrecycling.org.uk/,Enterprise and shop,Buy and sell,Any,Wood,,NA,Free ,Donate by arrangement with store. Buy in store or online,Don't know,Don't know,Cost depends on donation and purchase amounts and type,Don't know,See in store,See in store,See in store,Abingdon,4 Suffolk Way,,,Abingdon,OX14 5JX,Oxfordshire,England,Green,,,,,,,,,,,,,,,,,,,,,,,,
North Essex Wood Recycling,National Community Wood Recycling Project,,https://newoodrecycling.weebly.com/,Enterprise and shop,Buy and sell,Any,Wood,,NA,Free ,Donate by arrangement with store. Buy in store but call first,Don't know,Don't know,Cost depends on donation and purchase amounts and type,Don't know,See in store,See in store,See in store,Suffolk,The Old Fertiliser Store,Slough Farm Lane,,Acton,CO10 0BN,Suffolk,England,Green,,,,,,,,,,,,,,,,,,,,,,,,
Northamptonshire Wood Recycling,National Community Wood Recycling Project,,https://northantswoodrecycling.org.uk/,Enterprise and shop,Buy and sell,Any,Wood,,NA,Free ,Donate by arrangement with store. Buy in store,Don't know,Don't know,Cost depends on donation and purchase amounts and type,Don't know,See in store,See in store,See in store,Northampton,Unit G2,Kingsfield Close,,Northampton,NN5 7QS,Northamptonshire,England,Green,,,,,,,,,,,,,,,,,,,,,,,,
Southampton Wood Recycling Project,National Community Wood Recycling Project,,https://southamptonwoodrecycling.org.uk/,Enterprise and shop,Buy and sell,Any,Wood,,NA,Free ,Donate by arrangement with store. Buy in store or online,Don't know,Don't know,Cost depends on donation and purchase amounts and type,Don't know,See in store,See in store,See in store,Southampton,Unit Z,Willments Industrial Estate,,Hazel Road,SO19 7HS,Southampton,England,Green,,,,,,,,,,,,,,,,,,,,,,,,
Just Wood Leicestershire,National Community Wood Recycling Project,,https://www.justwoodleicestershire.org.uk/,Enterprise and shop,Buy and sell,Any,Wood,,NA,Free ,Donate by arrangement with store. Buy in store or online,Don't know,Don't know,Cost depends on donation and purchase amounts and type,Don't know,See in store,See in store,See in store,Leicester,Unit 6,62-66 Friday Street,,Leicester,LE1 3BW,Leicestershire,England,Green,,,,,,,,,,,,,,,,,,,,,,,,
Wiltshire Wood Recycling,National Community Wood Recycling Project,,https://www.wiltshirewoodrecycling.org.uk/,Enterprise and shop,Buy and sell,Any,Wood,,NA,Free ,Donate by arrangement with store. Buy in store,Don't know,Don't know,Cost depends on donation and purchase amounts and type,Don't know,See in store,See in store,See in store,Wiltshire,Milking Parlour,East Combe Farm,,Castle Combe,SN14 7EY,Wiltshire,England,Green,,,,,,,,,,,,,,,,,,,,,,,,
