Council,Type,Status,Geographical boundaries,Time restrictions,Start date,Vehicle scope ,Emission limits ,Cost for non-compliant vehicles,Fines for non-compliance,Future changes,Covid-19 Implications,Further information,Date information last updated,Location,Polygon
Edinburgh,LEZ,Active,City centre,24/7,May 2022,Road,"Currently the proposed minimum criteria is: Euro 6 for diesel cars (cars registered from September 2015) / Euro 4 for petrol cars (cars registered from January 2006) / Euro 6 for heavy diesel vehicles (including older retrofitted engines which would be improved to operate as Euro 6)",£60 per day,£60 reduced by 50% if paid within 14 days. Penalty amount doubles with each subsequent breach of the rules but charges are capped at £480 for cars and light goods vehicles AND £960 for buses and HGVs,Grace period in place until June 2024,,"Further information from: https://www.edinburgh.gov.uk/lowemissionzone",03/01/2023,City of Edinburgh,"[[55.94074034223586,-3.1995697021484304],[55.93929823092825,-3.1884250640869105],[55.94147001175461,-3.1779566891491307],[55.94791929798911,-3.181392885744574],[55.94947447019031,-3.175390675663956],[55.95176768730654,-3.165188699960708],[55.95654591401692,-3.173108875751498],[55.95389702143724,-3.1789928674697965],[55.95465374485947,-3.1844093799591078],[55.957512533323865,-3.1842560768127504],[55.95698356909287,-3.187211036682125],[55.9535230126587,-3.209772109985347],[55.95236800723353,-3.2133522033691353],[55.94922069886819,-3.219225406646733],[55.945880882728225,-3.214798927307123],[55.94554529042248,-3.2057743072509703]]"
Glasgow,LEZ,Active for all. Charges for buses but grace period for other vehicles until June 2023,Within the M8 and the River Clyde the High Street and Saltmarket,24/7,December 2018. 2022 full implementation, Currently the proposed minimum criteria is: Euro 6 for diesel cars (cars registered from September 2015) / Euro 4 for petrol cars (cars registered from January 2006) / Euro 6 for heavy diesel vehicles (including older retrofitted engines which would be improved to operate as Euro 6)",£60 per day,£60 reduced by 50% if paid within 14 days. Penalty amount doubles with each subsequent breach of the rules but charges are capped at £480 for cars and light goods vehicles AND £960 for buses and HGVs,"Glasgow's LEZ is being phased in and to start with, will only apply to local service buses.",,,Further information from: https://www.glasgow.gov.uk/LEZ,03/01/2023,Glasgow City,"[[55.85643101521218,-4.269878387451165],[55.85662371098419,-4.2574462890624964],[55.85317742413012,-4.2471218109130815],[55.86039583360714,-4.239792466163643],[55.86173691354508,-4.23658299446106],[55.86759763892558,-4.236687183380132],[55.869684920667105,-4.243734478950498],[55.870134784337864,-4.253700017929067],[55.86949347490485,-4.2672796249389595],[55.86692813127085,-4.271472930908198]]"
Heathrow Airport,ULEZ,Planned,Vehicles entering the car parks or drop off areas at any of the terminals,24/7,Heathrow ULEZ from 29th August 2023,The below groups would be exempt from charges: Disabled passenger vehicles LGVs HGVs Buses Coaches Emergency services Military vehicles Historic and specialist vehicles Heathrow operational vehicles / All passenger cars, taxis and private hire vehicles coming to car parks or drop off areas / Petrol cars and vans - Euro IV Diesel cars and vans - Euro VI Motorcycles and mopeds - Euro III Lorries buses and coaches, Euro VI Cars motorcycles and vans - £12.50, Penalty charge of £160 reduced to £80 if paid within 14 days. If not paid within 28 days penalty charge increased by 50% and you can no longer challenge the charge, Will become a vehicle access charge ULEZ from 2026.,,For further information: https://tfl.gov.uk/modes/driving/ultra-low-emission-zone/ulez-expansion-2023,03/01/2023,London,"[[51.455504262767796,-0.45144271850585227],[51.47106516535654,-0.4104652404785103],[51.48127579461409,-0.4178962707519496],[51.48359904005772,-0.4913425445556596],[51.463468748966406,-0.49389266967772905]]"
London, Ultra Low Emission Zone (ULEZ), Active and will be expanding area from August 2023, Central London - same area as the congestion charge,24/7,2019,Road and NRMM, Petrol cars and vans - Euro IV / Diesel cars and vans - Euro VI / Motorcycles and mopeds - Euro III / Lorries buses and coaches - Euro VI, "Cars motorcycles and vans - £12.50 per day / Lorries, buses and coaches - £100 per day", Cars vans motorcycles motor tricycles and mopeds up to 3.5 tonnes - Penalty charge notice (PCN)£160 or £80 if paid within 14 days / Buses coaches more than 5 tonnes - PCN £1000 or £500 if paid within 14 days / Lorries good vehicles concrete mixers tippers etc more than 3.5 tonnes - PCN £1000 or £500 if paid within 14 days",Area will be expanded to Greater London in Ausgust 2023.,,For further information: https://tfl.gov.uk/modes/driving/ultra-low-emission-zone,03/01/2023,London,"[[51.540249521949605,-0.5003662109374929],[51.63517325811598,-0.48170471191405717],[51.63394798008342,-0.45987319946288574],[51.61695049309274,-0.4469680786132768],[51.63725082782654,-0.31630325317382413],[51.67976681632476,-0.17887306213379528],[51.688048397151725,-0.10983991622926181],[51.67632070029442,-0.007847785949728348],[51.63744060108517,-0.008693456649795372],[51.614606345131854,0.05323654413222911],[51.62237238065704,0.14565631747244012],[51.648461069834845,0.19893729686733863],[51.60918894325837,0.2548193931579501],[51.56117110545442,0.28677368164062855],[51.53990063671905,0.30387878417969194],[51.523708093077595,0.23346710205080612],[51.44376660504917,0.17628860473634322],[51.34931060605327,0.15044593811038176],[51.3010484227798,0.03808593750000533],[51.33422937131802,-0.0031738281249937828],[51.312952314012485,-0.05811309814452992],[51.292864545866024,-0.0972557067871005],[51.31227186376327,-0.15150451660156605],[51.35810062564267,-0.20919799804686834],[51.39017440087198,-0.2620849609374831],[51.34276666417234,-0.296081542968738],[51.35850845668533,-0.32475280761716796],[51.38780725640732,-0.3301620483398304],[51.41101604676578,-0.46744918823241166],[51.47140160148759,-0.4990139007568173]]"
London,NRMM Low Emission Zone,Active,32 London boroughs,24/7,2015,NRMM,"Construction machinery operating in the Central Activity Zone and Canary Wharf Areas - stage IIIB / Construction machinery operating in the rest of London - stage IIIA",,,"From 1 September 2020 the standards will be stage IV for construction machinery operating in the Central Activity Zone Canary Wharf and Opportunity Areas and stage IIIB in the rest of London - From 1 January 2025 the standards will be stage IV throughout London -From 1 of January 2030 the standards will be stage V throughout London - From 1 of January 2040 only zero emission machinery will be allowed. They are not suspending the NRMM Low Emission Zone completely and all machinery will still need to meet the existing emissions standard for the zone they are in.",,Further information from: https://www.london.gov.uk/what-we-do/environment/pollution-and-air-quality/nrmm,03/01/2023,London,"[[51.433784996186574,-0.3808898925781179],[51.40381043469064,-0.12578582763670187],[51.416659082312044,0.12794494628908915],[51.53469728271872,0.14926147460938122],[51.568854168790565,0.27154541015625533],[51.628567019498995,0.21948242187500355],[51.630184898962625,0.06737518310546253],[51.68206757397873,0.09516906738279651],[51.68274514533894,-0.18844604492187056],[51.62275535468404,-0.22558593749999467],[51.62139840709316,-0.3794555664062438],[51.58916173712382,-0.5250549316406183]]"
Newcastle City Council,Class C CAZ,Planned,"Joint with Gateshead Metropolitan Borough Council, South Tyneside and with North Tyneside Council.",24/7,2022,"Buses, coaches, taxis, PHVs, HGVs and light goods vehicles (LGVs)","Petrol cars and vans - Euro IV / Diesel cars and vans - Euro VI / Motorcycles and mopeds - Euro III / Lorries, buses and coaches - Euro VI",£120 Penalty Charge notice / Vans & Light Goods will not face charges until July 2023, Reduced to £60 if paid within 14 days,,,"Further information from: https://www.breathe-cleanair.com/https://www.newcastle.gov.uk/our-city/transport-improvements/transport-and-air-quality/newcastle-and-gateshead-clean-air-zone",03/01/2023,Newcastle upon Tyne,"[[54.960418793013154,-1.6282672882080007],[54.96261164952691,-1.620781898498529],[54.957400339705515,-1.6155800819396915],[54.9589835159412,-1.6134941577911421],[54.96337542537636,-1.6191329956054634],[54.96748970998365,-1.6092872619628862],[54.968302662470634,-1.6062221527099574],[54.971207704571135,-1.6098451614379838],[54.97290646609141,-1.6072793006896924],[54.978583270383034,-1.6055672168731538],[54.9818646484392,-1.6089168787002461],[54.98234018762854,-1.6117283999919652],[54.97966349853729,-1.6118791699409307],[54.980976387162286,-1.6158494055271033],[54.97823421477159,-1.6182636767625724],[54.97578741718247,-1.6261711120605415],[54.9755921201477,-1.6287641525268493],[54.971849026818184,-1.6295456886291437],[54.96958320902508,-1.6347429752349685]]"
Norwich City Council, Zero Emission Zone, Planned, TBC,,,,,,,,,Further information from:https://www.norfolk.gov.uk/news/2022/03/norwich-secures-funding-for-innovative-zero-emission-city-centre-project,,,"[[52.627957372890315,1.262939453125007],[52.639209139315454,1.2840042114257866],[52.64129248223219,1.305068969726566],[52.625192391255,1.3234863281250053],[52.61907188167279,1.2959594726562562]]",  
Oxford City Council,Zero emission zone,Active,"The 'Red Zone' consists of Bonn Square, Queen Street, Cornmarket, part of Market Street, Ship Street, St Michael's Street, New Inn Hall Street and Shoe Lane. ",0700-1900,2021,Road,Zero emission vehicles drive for free in the zone. All other vehicles have to pay. Petrol cars and vans - Euro IV / Diesel cars and vans - Euro VI / Lorries buses and coaches - Euro VI, £60 per day, If the fine is paid within 14 days of the date of service 50 per cent of the £60 penalty charge will be accepted,"Cost will rise to £20 per day from August 2025. Eight week “soft launch” phase: A soft launch of the scheme which would see the Zero Emission Zone implemented but no charges payable or penalty charges issued until 1 Feb 2021. This is in order to address concerns about the scheme starting in the run up to Christmas 2020 a key trading period for city centre businesses. Start date for second phase of Red Zone to be changed to summer 2025: To address concerns about the scheme starting in the run up to Christmas 2024 a key trading period for city centre businesses. Commitment to work with ZEZ residents and businesses to develop supporting measures: To address concerns that support is required to help people comply. Blue badge holder discount extended to include international equivalents: This update has been made to address concerns raised about the impact on access for people with disabilities. Both councils will explore whether it is necessary and feasible to broaden this exemption to cover people with disabilities who do not hold a Blue Badge or equivalent. Disabled tax class vehicles exempt in all years: This has been made to address concerns raised about the availability and cost of specially adapted vehicles for people with disabilities. Update to discount for blue badge holders or international equivalent: The originally proposed £20 daily charge from December 2024 for blue badge has been reduced to £10 from August 2025. This will be reviewed by the end of 2024 to establish whether any charge is appropriate. Review zero emission standard for large vans and lorries: Both councils will review zero emission standard for large vans and lorries in light of Ultra Low Emission Truck (ULET) standard, when available. This is in order to address concerns about consistency with national guidance. Exemptions for certain special vehicle categories: To address concerns about availability of alternative options where mode shift or re-timing is not possible and to ensure consistency with Clean Air Zones and London ULEZ.",,Further information from: https://www.oxford.gov.uk/info/20299/air_quality_projects/1305/oxford_zero_emission_zone_zez,03/01/2023,Oxfordshire,"[[51.74967027267026,-1.266662597656243],[51.74696017133463,-1.256859779357904],[51.7508392857939,-1.2466278076171822],[51.7623152624366,-1.2487373352050746],[51.76209900909544,-1.2626781463622994],[51.75567254662175,-1.2604646682739196],[51.75336224759738,-1.267940998077386]]"
Portsmouth City Council,Class B CAZ,Active,South west of the city,,2021,Road but does not apply to private individuals,"Petrol private hire cars and vans - Euro IV / Petrol Lorries buses and coaches - Euro IV / Diesel private hire cars and vans - Euro VI / Diesel Lorries, buses and coaches - Euro VI", No charge for private cars motorcycles and vans. Non-compliant taxis and private hire vehicles: £10 per day. Non-compliant HGVs buses Coach: £50 per day", If payment is not made within the charging window you will be charged a Penalty Charge Notice of up to £120,,,Further information from: https://cleanerairportsmouth.co.uk/,03/01/2023,Portsmouth,"[[50.81287681145461,-1.0772342681884695],[50.796536395271005,-1.075757026672357],[50.79666524247939,-1.079309940338129],[50.794406974171295,-1.0786571502685494],[50.795030891039325,-1.091495513916012],[50.791191833696764,-1.095716476440436],[50.79283262111404,-1.1006240844726523],[50.79264176482452,-1.107692718505855],[50.795949345955734,-1.1094703674316353],[50.80205934204664,-1.1073483228683467],[50.801551031362735,-1.0956990718841597],[50.805199393050394,-1.0917124748229923],[50.812712193320124,-1.0866575241088805]]"
Sefton Metropolitan Borough Council,,Under Consultation,Parts of the A565 and A5036,,,,,,,,,"Further information from: https://yourseftonyoursay.sefton.gov.uk/environmental-health-1/potential-clean-air-zone/,,,"[[53.49325401024049,-3.076660156249993],[53.45238459461495,-3.0036315917968714],[53.663496173522546,-2.943237304687496],[53.69017401449467,-3.0105590820312456],[53.570946802834676,-3.0930175781249947]]",
Sheffield City Council,Class C CAZ,Planned,"The Clean Air Zone will cover the inner ring road and the city centre, including Park Square and the A61/Parkway junction. The proposed zone is not final and may be subject to minor changes through feedback from the consultation.",TBC,27th February 2023,Road,"Taxis including both Hackney Carriages and private hire vehicles which are below Euro 6 Diesel or Euro 4 Petrol / Light goods vehicles (LGVS) such as vans campervans and pickup trucks and minibuses which are below Euro 6 Diesel or Euro 4 Petrol / Buses and coaches which are below Euro 6 Diesel heavy goods vehicles (HGVs) which are below Euro 6 Diesel","£10 per day for polluting LGVs and Taxis / £50 per day for coaches, buses and HGVs / Not charging private cars",TBC,,,Further information from: https://www.sheffield.gov.uk/pollution-nuisance/more-information-about-clean-air-zone,03/01/2023,Sheffield,"[[53.37646757229505,-1.483814239501946],[53.372985647162686,-1.4733066558837837],[53.37421459441952,-1.4626455307006792],[53.38138274670939,-1.4605674743652308],[53.3852794700027,-1.4549822807312074],[53.38958533396809,-1.4675931930541952],[53.38714018235168,-1.4704990386962846],[53.388802007801345,-1.4780273437499947],[53.383761517792756,-1.4840965270996032]]"
Stoke-on-Trent City Council,LEZ,Under Consultation,TBC,TBC,,,Road but will not apply to private vehicles,,,,,"For further information: https://www.stoke.gov.uk/news/article/942/clean_air_zone_to_be_considered_for_stoke-on-trent,,,"[[52.998979391505635,-2.1891708374023366],[53.010238804400615,-2.1904716491699183],[53.011708746430486,-2.1748256683349565],[53.00140347030456,-2.1699943542480415]]",
York City Council,CAZ,Active,City centre,24/7,January 31 2020,Buses only at this stage,Buses need to be low emissions vehicles,None - voluntary CAZ,None - voluntary CAZ,,,Further information from: https://www.york.gov.uk/AirQualityActionPlan,03/01/2023,York,"[[53.915966503975156,-1.159545898437493],[53.92415509274759,-1.093254089355462],[53.92102137811288,-1.0640411376953063],[53.93092715626903,-1.0207214355468697],[53.95840842918758,-1.002120971679683],[53.995963803312506,-1.010299682617184],[54.00693451286354,-1.0618591308593706],[53.98400069983779,-1.1539306640624947],[53.93302246250455,-1.1484985351562438]]"
